grupo_sent_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
pacienciazero0,0.0,0.08333333333333333,0.19444444444444445,0.3055555555555556,0.05555555555555555,0.3055555555555556,0.05555555555555555,0.0,0.0,0.0,0.75,0.125,0.125,0.0
paixaodomont,0.0,0.2,0.1,0.4,0.1,0.1,0.1,0.0,0.0,0.0,0.8,0.2,0.0,0.0
paiznocoracao,0.04,0.16,0.12,0.24,0.04,0.24,0.16,0.0,0.0,0.0,0.625,0.0,0.25,0.125
palmahyty,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0
palomalocutora,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.125,0.375,0.25,0.0,0.25,0.0
pamelaaniston,0.0,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.375,0.0
pamozzy22,0.0,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.0,0.2857142857142857,0.07142857142857142,0.0,0.0,0.0,0.6,0.0,0.2,0.2
pao__frances,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.46153846153846156,0.0,0.07692307692307693,0.07692307692307693,0.0,0.4,0.1,0.2,0.1,0.2,0.0
papaidizia,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0
paporetoads,0.0,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.0,0.0,0.1111111111111111,0.0,0.10416666666666667,0.125,0.4791666666666667,0.020833333333333332,0.16666666666666666,0.10416666666666667
paradiselibre,0.061224489795918366,0.14285714285714285,0.16326530612244897,0.3877551020408163,0.02040816326530612,0.16326530612244897,0.061224489795918366,0.017699115044247787,0.21238938053097345,0.12389380530973451,0.3893805309734513,0.017699115044247787,0.17699115044247787,0.061946902654867256
partesdebonecah,0.2,0.0,0.2,0.2,0.1,0.3,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.4166666666666667,0.08333333333333333
pasquinirafa,0.0,0.2857142857142857,0.0,0.5,0.14285714285714285,0.07142857142857142,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.0
passuncao,0.058823529411764705,0.11764705882352941,0.029411764705882353,0.6470588235294118,0.0,0.08823529411764706,0.058823529411764705,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.0,0.07692307692307693,0.07692307692307693
pati_lima,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.0,0.0,0.0,0.0,0.15,0.0,0.45,0.05,0.35,0.0
patinhoputo_,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5,0.0,0.21428571428571427,0.0
patricia_satiro,0.0,0.16129032258064516,0.0967741935483871,0.41935483870967744,0.06451612903225806,0.1935483870967742,0.06451612903225806,0.0,0.2,0.06666666666666667,0.4,0.03333333333333333,0.26666666666666666,0.03333333333333333
patriciaisa1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.0,0.0,0.0,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.47058823529411764,0.0,0.17647058823529413,0.0
patrizia88,0.08333333333333333,0.027777777777777776,0.08333333333333333,0.3333333333333333,0.0,0.3055555555555556,0.16666666666666666,0.0,0.0967741935483871,0.16129032258064516,0.3870967741935484,0.0,0.22580645161290322,0.12903225806451613
pattieqpariu,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.5714285714285714,0.0,0.07142857142857142,0.0,0.15151515151515152,0.12121212121212122,0.06060606060606061,0.2727272727272727,0.030303030303030304,0.24242424242424243,0.12121212121212122
patybrasil1102,0.0,0.0,0.08333333333333333,0.5833333333333334,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.25,0.25,0.125,0.0,0.375,0.0
patycansada,0.02,0.16,0.06,0.34,0.08,0.3,0.04,0.0,0.35,0.15,0.25,0.0,0.25,0.0
patylnra,0.1111111111111111,0.0,0.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2,0.0,0.6,0.0,0.2,0.0
patyvicent03,0.041666666666666664,0.125,0.08333333333333333,0.4166666666666667,0.0,0.25,0.08333333333333333,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.42105263157894735,0.10526315789473684,0.2631578947368421,0.0
pau_nocu_,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.0,0.2727272727272727,0.09090909090909091
paula1248965651,0.2,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.2,0.13333333333333333,0.14285714285714285,0.23809523809523808,0.07142857142857142,0.47619047619047616,0.0,0.07142857142857142,0.0
paula_habedin,0.038461538461538464,0.1346153846153846,0.09615384615384616,0.46153846153846156,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.0,0.10204081632653061,0.10204081632653061,0.5714285714285714,0.02040816326530612,0.12244897959183673,0.08163265306122448
paula_tarsyana,0.0,0.375,0.125,0.125,0.0,0.25,0.125,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.14285714285714285
paulaana029,0.0,0.09090909090909091,0.0,0.5454545454545454,0.0,0.2727272727272727,0.09090909090909091,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
paulabel,0.0,0.1,0.1,0.4,0.0,0.1,0.3,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0
paulapgui,0.0,0.25,0.0,0.25,0.0,0.375,0.125,0.1111111111111111,0.16666666666666666,0.0,0.5,0.0,0.2222222222222222,0.0
paularosiska,0.0,0.14285714285714285,0.07142857142857142,0.39285714285714285,0.07142857142857142,0.21428571428571427,0.10714285714285714,0.0,0.32142857142857145,0.03571428571428571,0.39285714285714285,0.0,0.17857142857142858,0.07142857142857142
paulinha_mds,0.0,0.2,0.3,0.4,0.1,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666
paulinhoocoelho,0.0,0.1,0.1,0.5,0.0,0.2,0.1,0.02631578947368421,0.10526315789473684,0.21052631578947367,0.3684210526315789,0.02631578947368421,0.18421052631578946,0.07894736842105263
paulloprr,0.0,0.2962962962962963,0.25925925925925924,0.3333333333333333,0.037037037037037035,0.07407407407407407,0.0,0.05084745762711865,0.15254237288135594,0.06779661016949153,0.5423728813559322,0.03389830508474576,0.15254237288135594,0.0
paulobrant,0.047619047619047616,0.19047619047619047,0.09523809523809523,0.3333333333333333,0.047619047619047616,0.23809523809523808,0.047619047619047616,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.0,0.18181818181818182,0.09090909090909091
paulocampagnoli,0.0,0.07692307692307693,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,0.23076923076923078,0.0,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.07142857142857142
paulocandango,0.0,0.1875,0.041666666666666664,0.5,0.041666666666666664,0.16666666666666666,0.0625,0.023809523809523808,0.11904761904761904,0.05952380952380952,0.47619047619047616,0.0,0.20238095238095238,0.11904761904761904
paulojunior455,0.0,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.0,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.0,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0
paulomacari,0.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0
pauloraduarte,0.0,0.09090909090909091,0.0,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0,0.07142857142857142,0.07142857142857142,0.7857142857142857,0.0,0.07142857142857142,0.0
paulorama_,0.0,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,0.1111111111111111,0.0,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.0,0.2857142857142857,0.07142857142857142
paulorob12,0.0,0.4,0.0,0.2,0.0,0.4,0.0,0.2,0.1,0.1,0.3,0.0,0.3,0.0
paulotarouco777,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.2857142857142857,0.0,0.21428571428571427,0.14285714285714285
paulovbelmont,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
paunasafadeza,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.0,0.21428571428571427,0.07142857142857142,0.0,0.3684210526315789,0.10526315789473684,0.2631578947368421,0.05263157894736842,0.15789473684210525,0.05263157894736842
pavmoraes,0.0,0.027777777777777776,0.19444444444444445,0.3888888888888889,0.027777777777777776,0.25,0.1111111111111111,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285
pdc251,0.0,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.022727272727272728,0.20454545454545456,0.06818181818181818,0.36363636363636365,0.022727272727272728,0.22727272727272727,0.09090909090909091
pe_de_jacaranda,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0
pedepano70,0.0,0.0,0.125,0.375,0.0,0.125,0.375,0.047619047619047616,0.14285714285714285,0.0,0.5714285714285714,0.047619047619047616,0.09523809523809523,0.09523809523809523
pedrohfpa,0.037037037037037035,0.07407407407407407,0.0,0.48148148148148145,0.14814814814814814,0.18518518518518517,0.07407407407407407,0.0,0.058823529411764705,0.0,0.6470588235294118,0.058823529411764705,0.23529411764705882,0.0
pedrokd,0.09090909090909091,0.06060606060606061,0.09090909090909091,0.5454545454545454,0.0,0.09090909090909091,0.12121212121212122,0.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.25,0.0
pedronelito,0.010416666666666666,0.19791666666666666,0.10416666666666667,0.34375,0.041666666666666664,0.22916666666666666,0.07291666666666667,0.08,0.12,0.0,0.48,0.04,0.28,0.0
pedroperelo,0.0,0.2,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
pedrophilippe_,0.0,0.2,0.0,0.4,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.4,0.2
peixoto47,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.0,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.2,0.0,0.06666666666666667
peladonafeiiosa,0.0,0.21739130434782608,0.08695652173913043,0.391304347826087,0.043478260869565216,0.17391304347826086,0.08695652173913043,0.0,0.1111111111111111,0.0,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.1111111111111111
penas,0.0,0.13043478260869565,0.17391304347826086,0.34782608695652173,0.043478260869565216,0.2608695652173913,0.043478260869565216,0.0,0.23529411764705882,0.0,0.4117647058823529,0.058823529411764705,0.23529411764705882,0.058823529411764705
pepe_spin,0.0,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.0,0.09090909090909091,0.0,0.23529411764705882,0.058823529411764705,0.47058823529411764,0.0,0.23529411764705882,0.0
pepirocoto,0.0,0.21052631578947367,0.0,0.3157894736842105,0.0,0.47368421052631576,0.0,0.0,0.18181818181818182,0.0,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.09090909090909091
peraimatheus,0.09090909090909091,0.18181818181818182,0.0,0.5454545454545454,0.0,0.09090909090909091,0.09090909090909091,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
percin__,0.0,0.2,0.0,0.7,0.0,0.1,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.0,0.14285714285714285,0.14285714285714285
pereiraaf,0.0,0.18421052631578946,0.07894736842105263,0.3157894736842105,0.15789473684210525,0.18421052631578946,0.07894736842105263,0.0,0.16666666666666666,0.06666666666666667,0.26666666666666666,0.03333333333333333,0.43333333333333335,0.03333333333333333
perfil_anonimo_,0.0,0.375,0.0,0.3125,0.0625,0.0625,0.1875,0.08333333333333333,0.08333333333333333,0.0,0.5833333333333334,0.0,0.08333333333333333,0.16666666666666666
perpetua_acre,0.04225352112676056,0.09859154929577464,0.028169014084507043,0.4084507042253521,0.0,0.29577464788732394,0.1267605633802817,0.0,0.16,0.12,0.48,0.0,0.2,0.04
perrieai,0.0,0.2,0.1,0.4,0.0,0.3,0.0,0.0,0.2,0.05,0.5,0.0,0.2,0.05
pessoaidonea_,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.17647058823529413,0.11764705882352941,0.5882352941176471,0.058823529411764705,0.058823529411764705,0.0
peterlouco,0.0,0.2,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.6,0.0
