grupo_sent_vader_subcateg,A_NFO,A_NFR,A_NME,A_NEU,A_PFO,A_PFR,A_PME,D_NFO,D_NFR,D_NME,D_NEU,D_PFO,D_PFR,D_PME
asereiasemcalda,0.125,0.28125,0.09375,0.09375,0.0625,0.1875,0.15625,0.20833333333333334,0.08333333333333333,0.16666666666666666,0.20833333333333334,0.16666666666666666,0.041666666666666664,0.125
asothiago,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0
asterixtica,0.0,0.125,0.125,0.5,0.125,0.0,0.125,0.125,0.125,0.125,0.375,0.125,0.0,0.125
augusto7_cesar,0.10111524163568773,0.09144981412639405,0.1828996282527881,0.3858736059479554,0.04684014869888476,0.07137546468401487,0.1204460966542751,0.10344827586206896,0.034482758620689655,0.2413793103448276,0.41379310344827586,0.034482758620689655,0.06896551724137931,0.10344827586206896
augustoperillo,0.10416666666666667,0.10416666666666667,0.16666666666666666,0.22916666666666666,0.125,0.08333333333333333,0.1875,0.20833333333333334,0.25,0.125,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666
aureliaggomes,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16,0.16,0.4,0.04,0.08,0.16
ayalaamrt,0.0,0.4,0.0,0.4,0.0,0.0,0.2,0.0,0.125,0.0,0.375,0.125,0.125,0.25
b4rthv4d3r,0.1875,0.1875,0.125,0.25,0.1875,0.0,0.0625,0.08333333333333333,0.0,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666
babialeencar,0.13636363636363635,0.045454545454545456,0.13636363636363635,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.0,0.2,0.8,0.0,0.0,0.0
babimouton,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.34782608695652173,0.08695652173913043,0.0,0.08695652173913043,0.23684210526315788,0.05263157894736842,0.21052631578947367,0.15789473684210525,0.05263157894736842,0.13157894736842105,0.15789473684210525
badlanass,0.1,0.1,0.4,0.0,0.1,0.1,0.2,0.08333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
badtorias,0.125,0.25,0.125,0.125,0.125,0.125,0.125,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
baetrizc,0.2222222222222222,0.2222222222222222,0.0,0.5555555555555556,0.0,0.0,0.0,0.07692307692307693,0.1282051282051282,0.1794871794871795,0.358974358974359,0.02564102564102564,0.1282051282051282,0.10256410256410256
bahiensecomh,0.1111111111111111,0.0,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0625,0.0,0.125,0.375,0.125,0.125,0.1875
bambam1aj,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855
bancocomunista,0.2,0.2,0.0,0.6,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
